sys_sch,SystemId,SystemName,SchoolName,SchoolId,Cluster,Phone_Number,Street,City,State,Zip_Code,total_enroll,Grades,SSAS,Grade,SingleScore,pct_asian,pct_native,pct_black,pct_hispanic,pct_multi,pct_white,pct_ed,pct_swd,pct_lep,Content_MasteryE,ProgressE,Closing_GapE,ReadinessE,CCRPIScoreE,Third_Grade_Reading,Fifth_Grade_Reading,Content_MasteryM,ProgressM,Closing_GapM,ReadinessM,CCRPIScoreM,Eighth_Grade_Reading,Content_MasteryH,ProgressH,Closing_GapH,ReadinessH,Graduation_RateH,CCRPIScoreH,English_BegH,English_DevH,English_ProfH,English_DistH,Math_BegH,Math_DevH,Math_ProfH,Math_DistH,Science_BegH,Science_DevH,Science_ProfH,Science_DistH,Soc_BegH,Soc_DevH,Soc_ProfH,Soc_DistH,College_Readiness,Accelerated_Course_Taking,Four_Year_Graduation_Rate,English_BegE,English_DevE,English_ProfE,English_DistE,Math_BegE,Math_DevE,Math_ProfE,Math_DistE,Science_BegE,Science_DevE,Science_ProfE,Science_DistE,Soc_BegE,Soc_DevE,Soc_ProfE,Soc_DistE,English_BegM,English_DevM,English_ProfM,English_DistM,Math_BegM,Math_DevM,Math_ProfM,Math_DistM,Science_BegM,Science_DevM,Science_ProfM,Science_DistM,Soc_BegM,Soc_DevM,Soc_ProfM,Soc_DistM,CollegeEnrollment,FinancialEfficiency,SchoolClimate,Mobility,PPE
601103,601,Appling County,Appling County High School,103,H,(912)367-8610,482 Blackshear Hwy,Baxley,GA,31513,970,9-12,,C,76.2,1,0,22,12,3,61,32.200001,13,2,,,,,,,,,,,,,,68.6,80.8,68,74.1,90.0,76.2,21.4,32.4,37.1,9,23,38.5,31.7,6.800000000000001,20.5,22.7,42,14.8,14.5,32.4,41.90000000000001,11.2,73.10000000000001,69,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,10.8,9462.33
6011050,601,Appling County,Altamaha Elementary School,1050,E,(912) 367-3713,344 Altamaha School Road,Baxley,GA,31513,378,K-5,,C,71.10000000000001,1,0,10,7,3,80,37.299999,15,6,59.9,90.2,35.7,80.9,71.09999999999999,50.8,52.40000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,38.7,30.4,7.2,17,44.3,32,6.7,28.6,39.7,28.6,3.2,12.7,73,11.1,3.2,,,,,,,,,,,,,,,,,,3,4,10.6,9514.780000000001
601177,601,Appling County,Appling County Elementary School,177,E,(912)367-8640,680 Blackshear Hwy,Baxley,GA,31513,551,3-5,,D,69.40000000000001,1,0,29,22,5,44,57.200001,17,19,61.3,80.7,50,76.5,69.40000000000001,39,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,42.2,24.7,5.2,14.8,41.6,34.1,9.5,28.7,32.8,32.3,6.2,18.5,57.40000000000001,16.4,7.7,,,,,,,,,,,,,,,,,,3,4,13.1,10174.38
601195,601,Appling County,Appling County Middle School,195,M,(912)367-8630,2997 Blackshear Hwy,Baxley,GA,31513,795,6-8,,C,75.40000000000001,1,0,24,16,4,55,41.5,13,10,,,,,,,,63.4,78.2,87.5,79.4,75.40000000000001,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,35.9,36,4.7,16.7,43.90000000000001,30.3,9.1,28,34.9,29.9,7.300000000000001,14.6,56.90000000000001,23.8,4.600000000000001,,4,4,10.7,8584.690000000001
601277,601,Appling County,Appling County Primary School,277,E,(912)367-8642,678 Blackshear Hwy,Baxley,GA,31513,516,K-2,,D,60,1,0,25,24,4,45,56.400002,16,21,62.3,100.0,32.1,75.8,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16.9,11795.07
6015050,601,Appling County,Fourth District Elementary School,5050,E,(912) 367-3250,13396 Blackshear Hwy,Surrency,GA,31563,152,K-5,Greatest Gains (Gold),B,84.7,0,0,10,13,3,74,31.6,14,10,71.3,97.8,87.5,79.9,84.7,54.5,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,33.3,33.3,10.7,8.300000000000001,36.9,45.2,9.5,26.9,26.9,42.3,3.8,15.4,61.5,19.2,3.8,,,,,,,,,,,,,,,,,,3,4,30.9,10530.29
602103,602,Atkinson County,Atkinson County High School,103,H,(912)422-3267,145 Rebel Ln,Pearson,GA,31642,478,9-12,,C,76.7,0,0,17,37,1,45,33.700001,13,4,,,,,,,,,,,,,,63.6,78.4,89.59999999999999,77.7,89.6,76.7,18.6,42.5,32.7,6.2,22.7,43.6,30,3.6,25.6,31.6,31.6,11.1,22.5,38.7,32.4,6.300000000000001,71.2,100,89.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,9,8997.5
602111,602,Atkinson County,Atkinson County Middle School,111,M,(912)422-3267,145 Rebel Ln,Pearson,GA,31642,374,6-8,,C,73.60000000000001,0,0,14,42,2,42,42,16,17,,,,,,,,62.7,77.7,80.8,77.3,73.59999999999999,72.60000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,32.9,35.6,9.200000000000001,21.7,47.3,26.4,4.600000000000001,31.9,28.3,30.1,9.700000000000001,22.1,45.1,26.5,6.2,,4,4,15,8546.73
602187,602,Atkinson County,Willacoochee Elementary School,187,E,(912)534-5302,430 S. Vickers St.,Willacoochee,GA,31650,162,K-5,,C,75.10000000000001,0,0,27,27,0,46,63.599998,6,19,74.3,78.8,56.3,84.1,75.09999999999999,54.5,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,34.6,42.3,10.3,7.7,37.2,41,14.1,37,25.9,22.2,14.8,18.5,51.90000000000001,18.5,11.1,,,,,,,,,,,,,,,,,,2,4,19.8,13499.78
602190,602,Atkinson County,Pearson Elementary School,190,E,(912)422-3882,563 N King St,Pearson,GA,31642,569,K-5,,B,81,0,0,14,45,2,39,51,11,34,67.9,95.7,72.90000000000001,81.0,81,55.6,47.40000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,40.40000000000001,30.1,10.6,15.1,41.1,34.9,8.9,31.6,36.8,27.4,4.2,12.6,53.7,29.5,4.2,,,,,,,,,,,,,,,,,,3,4,15.1,10522.02
