Neighborhood,Academy,,,,,,
Person,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Murder and Nonnegligent Manslaughter,09A,0,0,0,,1
"",Negligent Manslaughter,09B,0,0,0,,0
"",Justifiable Homicide,09C,0,0,0,,0
"",Suicide,09D,0,0,0,,0
"",Kidnapping/Abduction,100,1,0,-1,-100.0%,4
"",Rape,11A,0,0,0,,1
"",Sodomy,11B,0,0,0,,2
"",Sexual Assault with an Object,11C,0,0,0,,0
"",Fondling,11D,0,0,0,,0
"",Aggravated Assault,13A,6,14,8,133.3%,41
"",*Aggravated Assault with Firearm,13A*,3,9,6,200.0%,25
"",Simple Assault,13B,3,1,-2,-66.7%,22
"",Intimidation,13C,1,1,0,0.0%,4
"",Incest,36A,0,0,0,,0
"",Statutory Rape,36B,0,0,0,,0
"","Human Trafficking, Commercial Sex Acts",64A,0,0,0,,0
"","Human Trafficking, Involuntary Servitude",64B,0,0,0,,0
"",,Total,,,,,
"",,Person,11,16,5,45.5%,75
"",,Crime,,,,,
Property,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Robbery,120,0,1,1,Infinity,8
"",Arson,200,0,0,0,,1
"",Extortion/Blackmail,210,0,0,0,,0
"",Burglary/Breaking and Entering,220,1,1,0,0.0%,5
"",Pocket-picking,23A,0,0,0,,1
"",Purse-snatching,23B,0,0,0,,0
"",Shoplifting,23C,0,3,3,Infinity,5
"",Theft From Building,23D,1,0,-1,-100.0%,5
"",Theft From Coin-Operated Machine or Device,23E,0,0,0,,0
"",Theft From Motor Vehicle,23F,0,2,2,Infinity,11
"",Theft From Motor Vehicle Parts/Accessories,23G,1,1,0,0.0%,13
"",All Other Larceny,23H,5,0,-5,-100.0%,14
"",Motor Vehicle Theft,240,3,3,0,0.0%,30
"",Counterfeiting/Forgery,250,0,0,0,,1
"",False Pretense/Swindle/Confidence Game,26A,0,0,0,,1
"",Credit Card/Automatic Teller Machine Fraud,26B,0,0,0,,1
"",Impersonation,26C,0,0,0,,0
"",Welfare Fraud,26D,0,0,0,,0
"",Wire Fraud,26E,0,0,0,,0
Neighborhood,Academy,,,,,,
Property,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Identity Theft,26F,0,0,0,,0
"",Hacking/Computer Invasion,26G,0,0,0,,0
"",Embezzlement,270,0,0,0,,0
"",Stolen Property Offenses,280,0,0,0,,0
"",Destruction/Damage/Vandalism of Property,290,9,6,-3,-33.3%,44
"",Bribery,510,0,0,0,,0
"",Bad Checks,90A,0,0,0,,0
"",,Total,,,,,
"",,Property,20,17,-3,-15.0%,140
"",,Crime,,,,,
Society,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Drug/Narcotic Violations,35A,1,1,0,0.0%,34
"",Drug Equipment Violations,35B,2,2,0,0.0%,14
"",Pornography/Obscene Material,370,0,0,0,,0
"",Betting/Wagering,39A,0,0,0,,0
"",Operating/Promoting/Assisting Gambling,39B,0,0,0,,0
"",Gambling Equipment Violations,39C,0,0,0,,0
"",Sports Tampering,39D,0,0,0,,0
"",Prostitution,40A,4,0,-4,-100.0%,4
"",Assisting or Promoting Prostitution,40B,0,0,0,,0
"",Purchasing Prostitution,40C,0,0,0,,0
"",Weapons Law Violations,520,2,1,-1,-50.0%,28
"",Animal Cruelty,720,0,0,0,,0
"",Curfew/Loitering/Vagrancy Violations,90B,0,0,0,,0
"",Disorderly Conduct,90C,0,0,0,,9
"",Driving Under the Influence,90D,0,0,0,,2
"",Drunkeness,90E,0,0,0,,0
"","Family Offenses, Nonviolent",90F,0,0,0,,3
"",Liquor Law Violations,90G,2,0,-2,-100.0%,2
"",Peeping Tom,90H,0,0,0,,0
"",Trespass of Real Property,90J,0,0,0,,4
"",,Total,,,,,
"",,Society,11,4,-7,-63.6%,100
"",,Crime,,,,,
Unspecified,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Runaway,90I,0,0,0,,0
"",All Other Offenses,90Z,5,10,5,100.0%,74
"",,Total,,,,,
"",,Unspecified,5,10,5,100.0%,74
"",,Crime,,,,,
Neighborhood,Academy,,,,,,
Property,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Identity Theft,26F,0,0,0,,0
"",Hacking/Computer Invasion,26G,0,0,0,,0
"",Embezzlement,270,0,0,0,,0
"",Stolen Property Offenses,280,0,0,0,,0
"",Destruction/Damage/Vandalism of Property,290,9,6,-3,-33.3%,44
"",Bribery,510,0,0,0,,0
"",Bad Checks,90A,0,0,0,,0
"",,Total,,,,,
"",,Property,20,17,-3,-15.0%,140
"",,Crime,,,,,
Society,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Drug/Narcotic Violations,35A,1,1,0,0.0%,34
"",Drug Equipment Violations,35B,2,2,0,0.0%,14
"",Pornography/Obscene Material,370,0,0,0,,0
"",Betting/Wagering,39A,0,0,0,,0
"",Operating/Promoting/Assisting Gambling,39B,0,0,0,,0
"",Gambling Equipment Violations,39C,0,0,0,,0
"",Sports Tampering,39D,0,0,0,,0
"",Prostitution,40A,4,0,-4,-100.0%,4
"",Assisting or Promoting Prostitution,40B,0,0,0,,0
"",Purchasing Prostitution,40C,0,0,0,,0
"",Weapons Law Violations,520,2,1,-1,-50.0%,28
"",Animal Cruelty,720,0,0,0,,0
"",Curfew/Loitering/Vagrancy Violations,90B,0,0,0,,0
"",Disorderly Conduct,90C,0,0,0,,9
"",Driving Under the Influence,90D,0,0,0,,2
"",Drunkeness,90E,0,0,0,,0
"","Family Offenses, Nonviolent",90F,0,0,0,,3
"",Liquor Law Violations,90G,2,0,-2,-100.0%,2
"",Peeping Tom,90H,0,0,0,,0
"",Trespass of Real Property,90J,0,0,0,,4
"",,Total,,,,,
"",,Society,11,4,-7,-63.6%,100
"",,Crime,,,,,
Unspecified,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Runaway,90I,0,0,0,,0
"",All Other Offenses,90Z,5,10,5,100.0%,74
"",,Total,,,,,
"",,Unspecified,5,10,5,100.0%,74
"",,Crime,,,,,
Neighborhood,Baden,,,,,,
Person,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Murder and Nonnegligent Manslaughter,09A,1,1,0,0.0%,6
"",Negligent Manslaughter,09B,0,0,0,,0
"",Justifiable Homicide,09C,0,0,0,,0
"",Suicide,09D,0,0,0,,0
"",Kidnapping/Abduction,100,1,0,-1,-100.0%,2
"",Rape,11A,0,1,1,Infinity,1
"",Sodomy,11B,0,1,1,Infinity,3
"",Sexual Assault with an Object,11C,0,0,0,,0
"",Fondling,11D,0,0,0,,0
"",Aggravated Assault,13A,11,11,0,0.0%,104
"",*Aggravated Assault with Firearm,13A*,9,5,-4,-44.4%,62
"",Simple Assault,13B,3,4,1,33.3%,29
"",Intimidation,13C,0,0,0,,1
"",Incest,36A,0,0,0,,0
"",Statutory Rape,36B,0,0,0,,0
"","Human Trafficking, Commercial Sex Acts",64A,0,0,0,,0
"","Human Trafficking, Involuntary Servitude",64B,0,0,0,,0
"",,Total,,,,,
"",,Person,16,18,2,12.5%,146
"",,Crime,,,,,
Property,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Robbery,120,5,3,-2,-40.0%,18
"",Arson,200,1,0,-1,-100.0%,2
"",Extortion/Blackmail,210,0,0,0,,0
"",Burglary/Breaking and Entering,220,7,2,-5,-71.4%,26
"",Pocket-picking,23A,0,0,0,,0
"",Purse-snatching,23B,0,1,1,Infinity,2
"",Shoplifting,23C,0,1,1,Infinity,1
"",Theft From Building,23D,2,3,1,50.0%,21
"",Theft From Coin-Operated Machine or Device,23E,0,0,0,,0
"",Theft From Motor Vehicle,23F,2,5,3,150.0%,20
"",Theft From Motor Vehicle Parts/Accessories,23G,4,1,-3,-75.0%,20
"",All Other Larceny,23H,1,5,4,400.0%,33
"",Motor Vehicle Theft,240,6,7,1,16.7%,68
"",Counterfeiting/Forgery,250,0,0,0,,0
"",False Pretense/Swindle/Confidence Game,26A,1,0,-1,-100.0%,1
"",Credit Card/Automatic Teller Machine Fraud,26B,0,0,0,,3
"",Impersonation,26C,0,0,0,,0
"",Welfare Fraud,26D,0,0,0,,0
"",Wire Fraud,26E,0,0,0,,2
Neighborhood,Baden,,,,,,
Person,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
"",Murder and Nonnegligent Manslaughter,09A,1,1,0,0.0%,6
"",Negligent Manslaughter,09B,0,0,0,,0
"",Justifiable Homicide,09C,0,0,0,,0
"",Suicide,09D,0,0,0,,0
"",Kidnapping/Abduction,100,1,0,-1,-100.0%,2
"",Rape,11A,0,1,1,Infinity,1
"",Sodomy,11B,0,1,1,Infinity,3
"",Sexual Assault with an Object,11C,0,0,0,,0
"",Fondling,11D,0,0,0,,0
"",Aggravated Assault,13A,11,11,0,0.0%,104
"",*Aggravated Assault with Firearm,13A*,9,5,-4,-44.4%,62
"",Simple Assault,13B,3,4,1,33.3%,29
"",Intimidation,13C,0,0,0,,1
"",Incest,36A,0,0,0,,0
"",Statutory Rape,36B,0,0,0,,0
"","Human Trafficking, Commercial Sex Acts",64A,0,0,0,,0
"","Human Trafficking, Involuntary Servitude",64B,0,0,0,,0
"",,Total,,,,,
"",,Person,16,18,2,12.5%,146
"",,Crime,,,,,
Property,,,,,,,
"",,NIBRS,JUL,AUG,Diff,Change,YTD
